City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Dingle,PH,78.78,light rain,10.9995,122.6711,SEGAYA PROPERTY
9,Georgetown,MY,82.35,few clouds,5.4112,100.3354,Cititel Penang
10,Manggar,ID,81.95,broken clouds,-2.8833,108.2667,Guest Hotel
11,Euclides+Da+Cunha,BR,85.96,clear sky,-10.5075,-39.0158,Hotel e Posto Bastos
12,Cap+Malheureux,MU,73.89,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
14,Salinopolis,BR,84.94,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
17,Rikitea,PF,73.96,broken clouds,-23.1203,-134.9692,Pension Maro'i
18,Santa+Fe,AR,74.75,broken clouds,-31.6333,-60.7,Conquistador Hotel
20,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Shizuishan,CN,73.36,broken clouds,39.2333,106.7694,Xingji Hotel
29,Hambantota,LK,81.05,overcast clouds,6.1241,81.1185,Bungalow 63
31,Kavaratti,IN,83.71,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
42,Saint-Joseph,RE,70.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
44,Mitsamiouli,KM,77.86,clear sky,-11.3847,43.2844,Foyer ADM
45,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
52,Tautira,PF,73.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
53,Puerto+Penasco,MX,80.58,clear sky,31.3167,-113.5333,Playa Bonita Resort
59,Saint-Pierre,RE,71.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
60,Atuona,PF,79.77,few clouds,-9.8,-139.0333,Villa Enata
62,Mayo,US,77.11,few clouds,38.8876,-76.5119,Resorts Resource Group International
64,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
66,Soc+Trang,VN,78.76,few clouds,9.6033,105.98,Phu Quy Hotel
71,Caravelas,BR,82.04,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
73,Laguna,US,79.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
74,Hamilton,US,71.04,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
75,Lorengau,PG,80.67,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
84,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
86,Makakilo+City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
93,Teknaf,BD,81.77,clear sky,20.8624,92.3058,Forestry Guesthouse
