City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Khatanga,RU,71.9667,102.5,37.24,91,100,10.8,overcast clouds
Dingle,PH,10.9995,122.6711,78.78,87,87,2.17,light rain
Mataura,NZ,-46.1927,168.8643,49.48,99,100,0.83,light rain
Lebu,CL,-37.6167,-73.65,55.31,82,100,8.34,overcast clouds
Boguchany,RU,58.3814,97.4531,37.51,97,100,10.94,light rain
Leningradskiy,RU,69.3833,178.4167,27.7,95,16,9.93,few clouds
Smithers,CA,54.7804,-127.1743,46.72,76,75,2.3,broken clouds
Tiksi,RU,71.6872,128.8694,32.61,97,100,13.71,overcast clouds
Rudiskes,LT,54.5167,24.8333,56.21,88,75,3.22,broken clouds
Georgetown,MY,5.4112,100.3354,82.35,88,20,1.99,few clouds
Manggar,ID,-2.8833,108.2667,81.95,77,68,4.12,broken clouds
Euclides+Da+Cunha,BR,-10.5075,-39.0158,85.96,28,8,8.34,clear sky
Cap+Malheureux,MU,-19.9842,57.6142,73.89,78,19,3.0,few clouds
Port+Elizabeth,ZA,-33.918,25.5701,66.49,59,0,21.85,clear sky
Salinopolis,BR,-0.6136,-47.3561,84.94,64,17,8.63,few clouds
Kaitangata,NZ,-46.2817,169.8464,50.94,78,100,6.22,moderate rain
Diffa,NE,13.3154,12.6113,99.18,11,100,13.69,overcast clouds
Rikitea,PF,-23.1203,-134.9692,73.96,71,69,17.11,broken clouds
Santa+Fe,AR,-31.6333,-60.7,74.75,52,55,5.01,broken clouds
Busselton,AU,-33.65,115.3333,60.08,90,100,17.38,overcast clouds
Kapaa,US,22.0752,-159.319,75.52,83,40,9.33,light rain
Lompoc,US,34.6391,-120.4579,64.13,93,90,12.12,overcast clouds
Barrow,US,71.2906,-156.7887,30.22,80,90,10.36,overcast clouds
Cape+Town,ZA,-33.9258,18.4232,63.1,82,40,1.99,light rain
Shizuishan,CN,39.2333,106.7694,73.36,14,63,10.67,broken clouds
Bluff,NZ,-46.6,168.3333,49.8,74,100,14.14,moderate rain
Yellowknife,CA,62.456,-114.3525,52.32,53,40,4.0,scattered clouds
Punta+Arenas,CL,-53.15,-70.9167,35.62,75,40,19.66,scattered clouds
Qaanaaq,GL,77.484,-69.3632,40.15,91,93,5.06,overcast clouds
Hambantota,LK,6.1241,81.1185,81.05,80,100,18.99,overcast clouds
Chuy,UY,-33.6971,-53.4616,62.96,73,53,6.42,moderate rain
Kavaratti,IN,10.5669,72.642,83.71,75,16,16.89,few clouds
Ushuaia,AR,-54.8,-68.3,31.66,100,75,25.32,broken clouds
Mar+Del+Plata,AR,-38.0023,-57.5575,65.08,44,0,8.01,clear sky
Bahia+Blanca,AR,-38.7196,-62.2724,61.38,45,37,20.31,scattered clouds
East+London,ZA,-33.0153,27.9116,63.54,67,0,6.91,clear sky
Saint+Anthony,US,45.0205,-93.218,54.25,51,1,1.99,clear sky
Thompson,CA,55.7435,-97.8558,57.36,30,75,16.11,broken clouds
Avarua,CK,-21.2078,-159.775,69.85,100,100,2.3,overcast clouds
Hay+River,CA,60.8156,-115.7999,44.58,65,20,5.75,few clouds
